[2025-04-16 11:18:13] CPU: 0.0%, Memory: 22.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:13] CPU: 25.6%, Memory: 22.9%, Disk Read: 136.00 KB/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:13] CPU: 0.0%, Memory: 23.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:14] CPU: 10.3%, Memory: 23.1%, Disk Read: 16.00 KB/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:14] CPU: 2.4%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 180.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:14] CPU: 2.6%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:15] CPU: 12.8%, Memory: 23.4%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:15] CPU: 10.3%, Memory: 23.4%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:15] CPU: 7.7%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 116.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:16] CPU: 15.8%, Memory: 23.9%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 808.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:16] CPU: 2.5%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 224.00 B/s, Network Received: 550.00 B/s
[2025-04-16 11:18:17] CPU: 17.1%, Memory: 23.6%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:17] CPU: 25.0%, Memory: 23.6%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:17] CPU: 0.0%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 100.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:18] CPU: 15.0%, Memory: 23.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:18] CPU: 2.5%, Memory: 23.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:18] CPU: 0.0%, Memory: 23.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:19] CPU: 4.9%, Memory: 23.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:19] CPU: 12.5%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:20] CPU: 0.0%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:20] CPU: 12.8%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:20] CPU: 5.1%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 20.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:21] CPU: 2.4%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:21] CPU: 27.9%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:21] CPU: 7.3%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:22] CPU: 0.0%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:22] CPU: 17.9%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:22] CPU: 7.5%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 20.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:23] CPU: 0.0%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:23] CPU: 2.6%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:24] CPU: 14.0%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:24] CPU: 5.0%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:24] CPU: 12.2%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:25] CPU: 7.5%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:25] CPU: 10.3%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:25] CPU: 2.5%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:26] CPU: 11.9%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 16.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:26] CPU: 5.1%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:27] CPU: 12.5%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 108.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:27] CPU: 22.5%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:27] CPU: 0.0%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:28] CPU: 2.4%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:28] CPU: 15.0%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:28] CPU: 7.5%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 92.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:29] CPU: 2.4%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:29] CPU: 22.5%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:29] CPU: 5.1%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:30] CPU: 0.0%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:30] CPU: 2.4%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:31] CPU: 19.5%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:31] CPU: 17.5%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:31] CPU: 0.0%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:32] CPU: 15.0%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 60.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:32] CPU: 7.1%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 781.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:32] CPU: 0.0%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:33] CPU: 2.5%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 52.00 KB/s, Network Sent: 541.00 B/s, Network Received: 1.14 KB/s
[2025-04-16 11:18:33] CPU: 10.0%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:34] CPU: 0.0%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:34] CPU: 4.5%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:34] CPU: 14.0%, Memory: 23.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
